valence,year,acousticness,danceability,duration_min,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,decade,first_artist,key_mode,artist_track
0.371,2011,0.00847,0.56,3.63355,0.936,0,0.0,D#,0.161,-5.835,Major,Tongue Tied,82,0.0439,112.96,2010s,Grouplove,D# - Major,Grouplove - Tongue Tied
0.965,2011,0.145,0.733,3.993333333333333,0.71,0,0.115,F,0.0956,-5.849,Minor,Pumped Up Kicks,84,0.0292,127.975,2010s,Foster The People,F - Minor,Foster The People - Pumped Up Kicks
0.216,2011,0.0531,0.831,3.922,0.4270000000000001,1,0.0,D,0.307,-6.903,Major,Work Out,79,0.106,93.004,2010s,J. Cole,D - Major,J. Cole - Work Out
0.285,2011,0.892,0.5589999999999999,4.750666666666667,0.33,0,0.0,A,0.0975,-8.251,Major,Someone Like You,79,0.0285,135.109,2010s,Adele,A - Major,Adele - Someone Like You
0.8540000000000001,2011,0.498,0.657,3.0491166666666665,0.56,0,0.0,F#,0.0794,-9.049,Minor,Mistletoe,81,0.0467,161.993,2010s,Justin Bieber,F# - Minor,Justin Bieber - Mistletoe
0.72,2011,0.591,0.8640000000000001,4.082883333333333,0.495,0,0.000133,C,0.0992,-7.0360000000000005,Major,Somebody That I Used To Know,75,0.037,129.062,2010s,Gotye,C - Major,Gotye - Somebody That I Used To Know
0.161,2011,0.309,0.421,4.752,0.407,0,0.000961,A#,0.11,-7.445,Major,A Thousand Years,81,0.0267,139.028,2010s,Christina Perri,A# - Major,Christina Perri - A Thousand Years
0.7959999999999999,2011,0.0319,0.6459999999999999,3.516,0.795,0,0.0,A,0.267,-3.293,Major,Stereo Hearts (feat. Adam Levine),80,0.0976,89.99,2010s,Gym Class Heroes,A - Major,Gym Class Heroes - Stereo Hearts (feat. Adam Levine)
0.32,2011,0.0161,0.526,4.024,0.7120000000000001,0,0.0,B,0.179,-6.525,Minor,Midnight City,73,0.0356,105.009,2010s,M83,B - Minor,M83 - Midnight City
0.274,2011,0.386,0.278,4.03355,0.662,0,1.14e-05,A,0.134,-6.075,Major,This Side of Paradise,79,0.0295,181.683,2010s,Coyote Theory,A - Major,Coyote Theory - This Side of Paradise
0.775,2011,0.127,0.789,3.65555,0.858,1,0.0,C#,0.349,-5.5420000000000025,Major,Ni**as In Paris,79,0.311,140.02200000000002,2010s,JAY-Z,C# - Major,JAY-Z - Ni**as In Paris
0.927,2011,0.1,0.6920000000000001,4.389783333333333,0.809,0,9.77e-05,D,0.185,-5.935,Major,Springsteen,73,0.0255,104.023,2010s,Eric Church,D - Major,Eric Church - Springsteen
0.8140000000000001,2011,0.0764,0.6859999999999999,3.3411166666666667,0.7829999999999999,0,0.0,E,0.163,-4.977,Major,Tonight Tonight,75,0.119,99.978,2010s,Hot Chelle Rae,E - Major,Hot Chelle Rae - Tonight Tonight
0.312,2011,0.6459999999999999,0.4920000000000001,5.787116666666667,0.26,1,0.00178,A,0.0705,-17.340999999999998,Minor,Marvins Room,74,0.0921,111.519,2010s,Drake,A - Minor,Drake - Marvins Room
0.39,2011,0.000107,0.7659999999999999,3.0262166666666666,0.442,1,6.12e-05,C#,0.111,-8.558,Major,The Motto,73,0.356,201.8,2010s,Drake,C# - Major,Drake - The Motto
0.3,2011,0.268,0.421,3.814,0.476,0,0.0,C,0.0816,-7.692,Major,Wanted,70,0.0298,169.78400000000005,2010s,Hunter Hayes,C - Major,Hunter Hayes - Wanted
0.65,2011,0.0189,0.591,3.99355,0.889,1,0.0,G,0.155,-3.839,Major,The Show Goes On,73,0.115,143.067,2010s,Lupe Fiasco,G - Major,Lupe Fiasco - The Show Goes On
0.604,2011,0.000707,0.365,4.143116666666667,0.7509999999999999,1,0.0,D,0.318,-5.4289999999999985,Major,6 Foot 7 Foot,70,0.304,79.119,2010s,Lil Wayne,D - Major,Lil Wayne - 6 Foot 7 Foot
0.466,2011,0.00382,0.61,4.028216666666666,0.6829999999999999,0,1.79e-06,D,0.125,-3.879,Minor,Set Fire to the Rain,76,0.0253,108.003,2010s,Adele,D - Minor,Adele - Set Fire to the Rain
0.425,2011,0.365,0.636,3.933116666666667,0.5660000000000001,1,0.000353,F#,0.0917,-7.16,Minor,Headlines,73,0.106,151.894,2010s,Drake,F# - Minor,Drake - Headlines
0.946,2011,0.00635,0.626,3.18845,0.913,0,0.0,C,0.293,-4.452,Major,Drink In My Hand,71,0.0318,113.044,2010s,Eric Church,C - Major,Eric Church - Drink In My Hand
0.531,2011,0.0525,0.715,3.45555,0.655,1,0.0,C,0.115,-6.425,Major,"Young, Wild & Free (feat. Bruno Mars)",78,0.1369999999999999,95.078,2010s,Snoop Dogg,C - Major,"Snoop Dogg - Young, Wild & Free (feat. Bruno Mars)"
0.225,2011,0.0343,0.534,4.158666666666667,0.721,0,6.24e-06,B,0.115,-7.307,Minor,Cough Syrup,72,0.0417,128.97799999999998,2010s,Young the Giant,B - Minor,Young the Giant - Cough Syrup
0.809,2011,0.208,0.6,2.79045,0.8079999999999999,0,0.0,E,0.196,-4.6789999999999985,Major,Barefoot Blue Jean Night,70,0.0403,172.016,2010s,Jake Owen,E - Major,Jake Owen - Barefoot Blue Jean Night
0.522,2011,0.131,0.7290000000000001,3.804883333333333,0.7559999999999999,0,0.0,G#,0.0527,-5.119,Major,Rolling in the Deep,75,0.0294,104.945,2010s,Adele,G# - Major,Adele - Rolling in the Deep
0.7509999999999999,2011,0.135,0.747,3.51045,0.716,1,0.0,B,0.251,-2.457,Minor,Starships,71,0.075,125.008,2010s,Nicki Minaj,B - Minor,Nicki Minaj - Starships
0.345,2011,0.611,0.512,3.5542166666666666,0.598,1,0.0,A,0.0881,-4.959,Minor,Lotus Flower Bomb (feat. Miguel),70,0.115,70.189,2010s,Wale,A - Minor,Wale - Lotus Flower Bomb (feat. Miguel)
0.529,2011,0.192,0.6709999999999999,4.205116666666667,0.939,0,0.0,G#,0.298,-3.2060000000000004,Major,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",79,0.161,129.023,2010s,Pitbull,G# - Major,"Pitbull - Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)"
0.816,2011,0.0469,0.674,3.16555,0.778,0,0.0,C,0.145,-5.367000000000001,Major,Keep Your Head Up,72,0.0376,90.01,2010s,Andy Grammer,C - Major,Andy Grammer - Keep Your Head Up
0.212,2011,0.0509,0.449,4.645316666666667,0.585,0,8.75e-05,F,0.0833,-6.761,Major,Paradise,80,0.0268,139.631,2010s,Coldplay,F - Major,Coldplay - Paradise
0.243,2011,0.452,0.825,4.318366666666667,0.435,0,0.609,C#,0.0953,-9.582,Major,Sail,76,0.0568,119.038,2010s,AWOLNATION,C# - Major,AWOLNATION - Sail
0.311,2011,0.0594,0.506,3.2157833333333334,0.745,1,0.0,G#,0.341,-6.044,Major,Bonfire,72,0.331,161.808,2010s,Childish Gambino,G# - Major,Childish Gambino - Bonfire
0.7190000000000001,2011,0.27,0.546,3.2817833333333333,0.838,0,1.24e-05,G,0.0841,-3.51,Major,Diamond In My Pocket,69,0.0319,151.914,2010s,Cody Johnson,G - Major,Cody Johnson - Diamond In My Pocket
0.6709999999999999,2011,0.0293,0.645,3.759333333333333,0.904,0,0.0,D,0.0834,-4.532,Major,Country Girl (Shake It For Me),70,0.0462,105.97,2010s,Luke Bryan,D - Major,Luke Bryan - Country Girl (Shake It For Me)
0.1689999999999999,2011,0.952,0.379,3.3513333333333333,0.29,0,0.00106,E,0.118,-8.485,Major,Skinny Love,76,0.051,166.467,2010s,Birdy,E - Major,Birdy - Skinny Love
0.476,2011,0.337,0.5760000000000001,4.295333333333334,0.835,0,0.0,D,0.0819999999999999,-6.8260000000000005,Major,It Will Rain,67,0.0486,150.017,2010s,Bruno Mars,D - Major,Bruno Mars - It Will Rain
0.5379999999999999,2011,0.0339,0.767,3.709783333333333,0.677,1,5.51e-06,B,0.144,-6.127999999999999,Minor,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),72,0.184,146.155,2010s,Chris Brown,B - Minor,Chris Brown - Look At Me Now (feat. Lil' Wayne & Busta Rhymes)
0.272,2011,0.296,0.595,4.72245,0.667,0,0.0,F#,0.109,-6.442,Major,Country Boy (feat. George Jones & Charlie Daniels),68,0.034,121.949,2010s,Aaron Lewis,F# - Major,Aaron Lewis - Country Boy (feat. George Jones & Charlie Daniels)
0.37,2011,0.0584,0.762,5.039116666666667,0.508,1,0.00126,D#,0.16,-9.112,Major,Novacane,71,0.0919,93.51,2010s,Frank Ocean,D# - Major,Frank Ocean - Novacane
0.299,2011,0.0267,0.629,4.623116666666666,0.515,1,1.22e-05,C,0.0888,-10.358,Minor,Take Care,73,0.265,121.845,2010s,Drake,C - Minor,Drake - Take Care
0.364,2011,0.255,0.63,3.642,0.894,0,0.0,A#,0.181,-4.592,Major,Not Over You,71,0.0544,142.05100000000004,2010s,Gavin DeGraw,A# - Major,Gavin DeGraw - Not Over You
0.457,2011,0.256,0.351,4.223116666666667,0.622,1,3.44e-05,G#,0.613,-6.495,Minor,She,67,0.235,83.375,2010s,Tyler,G# - Minor,Tyler - She
0.5820000000000001,2011,0.33,0.609,3.591816666666667,0.799,1,0.0,A,0.108,-6.882999999999999,Major,A.D.H.D,71,0.24,157.74,2010s,Kendrick Lamar,A - Major,Kendrick Lamar - A.D.H.D
0.272,2011,0.000177,0.644,4.005116666666667,0.6609999999999999,0,5.14e-06,B,0.108,-6.093,Major,How To Love,67,0.0418,154.001,2010s,Lil Wayne,B - Major,Lil Wayne - How To Love
0.257,2011,0.000415,0.366,3.3451166666666667,0.6509999999999999,0,0.00526,E,0.271,-3.842,Major,Crazy Girl,67,0.031,151.343,2010s,Eli Young Band,E - Major,Eli Young Band - Crazy Girl
0.644,2011,0.0149,0.5479999999999999,3.64645,0.855,0,0.0,D#,0.127,-3.266,Major,The Drug In Me Is You,71,0.151,145.13299999999995,2010s,Falling In Reverse,D# - Major,Falling In Reverse - The Drug In Me Is You
0.359,2011,0.123,0.444,3.443783333333333,0.627,1,0.0,G,0.0795,-8.744,Minor,HYFR (Hell Ya Fucking Right),69,0.252,98.21,2010s,Drake,G - Minor,Drake - HYFR (Hell Ya Fucking Right)
