valence,year,acousticness,danceability,duration_min,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,decade,first_artist,key_mode,artist_track
0.514,1981,0.127,0.5,4.183116666666667,0.748,0,0.0,E,0.447,-9.072,Major,Don't Stop Believin',81,0.0363,118.852,1980s,Journey,E - Major,Journey - Don't Stop Believin'
0.8220000000000001,1981,0.1639999999999999,0.727,3.235333333333333,0.8320000000000001,0,0.0,D,0.105,-5.851,Major,Jessie's Girl,72,0.05,131.703,1980s,Rick Springfield,D - Major,Rick Springfield - Jessie's Girl
0.6659999999999999,1981,0.00145,0.536,4.6146666666666665,0.901,0,0.0186,A,0.06,-7.211,Major,Tom Sawyer,72,0.0374,87.559,1980s,Rush,A - Major,Rush - Tom Sawyer
0.298,1981,0.551,0.446,5.60755,0.239,0,4.1e-06,C,0.0697,-13.945,Major,In The Air Tonight - 2015 Remastered,77,0.0316,189.507,1980s,Phil Collins,C - Major,Phil Collins - In The Air Tonight - 2015 Remastered
0.626,1981,0.5579999999999999,0.542,2.564,0.45,0,6.43e-06,G,0.579,-9.931,Minor,Tainted Love,68,0.0361,144.437,1980s,Soft Cell,G - Minor,Soft Cell - Tainted Love
0.888,1981,0.249,0.653,3.6088833333333334,0.677,0,0.0,C,0.403,-12.244000000000002,Major,Centerfold,72,0.0396,114.37,1980s,The J. Geils Band,C - Major,The J. Geils Band - Centerfold
0.962,1981,0.22,0.838,3.42445,0.794,0,0.0,A,0.0575,-8.245,Minor,Super Freak,76,0.0531,132.446,1980s,Rick James,A - Minor,Rick James - Super Freak
0.493,1981,0.144,0.688,4.25,0.459,0,0.0,G,0.0816,-9.353,Major,A Country Boy Can Survive,67,0.0365,75.184,1980s,Hank Williams,G - Major,Hank Williams - A Country Boy Can Survive
0.971,1981,0.0436,0.631,3.5511166666666667,0.932,0,0.1369999999999999,F,0.0918,-4.142,Major,Start Me Up - Remastered,76,0.0354,122.429,1980s,The Rolling Stones,F - Major,The Rolling Stones - Start Me Up - Remastered
0.522,1981,0.0828,0.357,4.33,0.653,0,0.0,A,0.0844,-5.5539999999999985,Major,Juke Box Hero,69,0.0654,176.64700000000005,1980s,Foreigner,A - Major,Foreigner - Juke Box Hero
