valence,year,acousticness,danceability,duration_min,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,decade,first_artist,key_mode,artist_track
0.343,1961,0.941,0.396,3.0393333333333334,0.293,0,0.000196,D,0.105,-14.062,Major,Can't Help Falling in Love,78,0.0275,100.307,1960s,Elvis Presley,D - Major,Elvis Presley - Can't Help Falling in Love
0.598,1961,0.451,0.364,2.86,0.607,0,0.0,D,0.251,-9.791,Major,Runaround Sue,63,0.125,79.987,1960s,Dion,D - Major,Dion - Runaround Sue
0.356,1961,0.931,0.471,2.7428833333333333,0.021,0,1.19e-06,A#,0.103,-24.385,Major,Crazy - Single Version,66,0.0366,107.765,1960s,Patsy Cline,A# - Major,Patsy Cline - Crazy - Single Version
0.967,1961,0.7290000000000001,0.785,2.4673333333333334,0.7759999999999999,0,0.0,D,0.181,-5.259,Major,Please Mr. Postman,67,0.0312,121.505,1960s,The Marvelettes,D - Major,The Marvelettes - Please Mr. Postman
0.8,1961,0.768,0.594,3.6950666666666665,0.889,0,0.0,F,0.124,-7.775,Major,Jump in the Line,63,0.246,116.187,1960s,Harry Belafonte,F - Major,Harry Belafonte - Jump in the Line
0.718,1961,0.604,0.586,2.4548833333333335,0.253,0,0.0,F#,0.3,-11.93,Minor,Ain't That A Kick In The Head,62,0.0538,108.168,1960s,Dean Martin,F# - Minor,Dean Martin - Ain't That A Kick In The Head
0.505,1961,0.917,0.481,2.85555,0.0568,0,0.0,A#,0.12,-20.508000000000006,Major,I Fall To Pieces - Single Version,61,0.0357,111.799,1960s,Patsy Cline,A# - Major,Patsy Cline - I Fall To Pieces - Single Version
0.855,1961,0.301,0.59,2.810666666666666,0.546,0,0.0,G,0.0936,-10.213,Major,The Wanderer,58,0.0436,114.04,1960s,Dion,G - Major,Dion - The Wanderer
0.155,1961,0.937,0.39,2.0930833333333334,0.0235,0,0.00128,F,0.099,-19.695,Major,Moon River(Vocal Audrey Hepburn),63,0.0345,133.403,1960s,Henry Mancini,F - Major,Henry Mancini - Moon River(Vocal Audrey Hepburn)
0.464,1961,0.312,0.55,2.6782166666666667,0.382,0,1.11e-05,C,0.221,-6.4289999999999985,Major,Will You Love Me Tomorrow,62,0.0263,136.128,1960s,The Shirelles,C - Major,The Shirelles - Will You Love Me Tomorrow
