valence,year,acousticness,danceability,duration_min,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,decade,first_artist,key_mode,artist_track
0.206,1951,0.907,0.542,3.2306666666666666,0.32,0,0.649,G#,0.0609,-9.975,Major,'Round Midnight,58,0.0387,116.648,1950s,Thelonious Monk,G# - Major,Thelonious Monk - 'Round Midnight
0.289,1951,0.984,0.5529999999999999,4.562666666666667,0.0902,0,0.91,D,0.1,-21.491,Major,Poinciana,52,0.043,89.369,1950s,Ahmad Jamal,D - Major,Ahmad Jamal - Poinciana
0.7090000000000001,1951,0.795,0.773,2.7328833333333336,0.218,0,0.0,F,0.0632,-14.004,Major,Winter Wonderland - Single Version,45,0.0404,126.227,1950s,The Andrews Sisters,F - Major,The Andrews Sisters - Winter Wonderland - Single Version
0.637,1951,0.795,0.418,2.58355,0.586,0,6.24e-06,C,0.338,-4.474,Major,Paloma Querida,41,0.087,173.74400000000003,1950s,José Alfredo Jimenez,C - Major,José Alfredo Jimenez - Paloma Querida
0.252,1951,0.99,0.508,2.9,0.15,0,0.899,F,0.144,-20.844,Major,Ahmad's Blues,47,0.0418,173.36,1950s,Ahmad Jamal,F - Major,Ahmad Jamal - Ahmad's Blues
0.972,1951,0.698,0.675,2.632216666666667,0.794,0,1.15e-06,C,0.107,-5.8210000000000015,Major,The Bigger The Figure (with Keely Smith) - Single Version,37,0.0627,127.904,1950s,Louis Prima,C - Major,Louis Prima - The Bigger The Figure (with Keely Smith) - Single Version
0.935,1951,0.799,0.718,2.1371166666666666,0.283,0,0.0,D,0.293,-8.335,Major,Luna Mezzo Mare,40,0.0779,120.795,1950s,Dean Martin,D - Major,Dean Martin - Luna Mezzo Mare
0.338,1951,0.986,0.361,2.1746666666666665,0.292,0,0.887,C#,0.151,-16.073,Minor,"Etude in D-Sharp Minor, Op. 8, No. 12: Patetico - Remastered",41,0.0362,72.153,1950s,Ale,C# - Minor,"Ale - Etude in D-Sharp Minor, Op. 8, No. 12: Patetico - Remastered"
0.835,1951,0.6920000000000001,0.5670000000000001,2.36,0.417,0,0.0,A#,0.339,-10.504,Major,Get in Line Brother,31,0.0329,134.408,1950s,Flatt & Scruggs,A# - Major,Flatt & Scruggs - Get in Line Brother
0.511,1951,0.8420000000000001,0.725,3.02445,0.134,0,0.0,C,0.12,-14.49,Major,I'd Like To Hitch A Ride With Santa Claus,35,0.0536,115.7,1950s,The Andrews Sisters,C - Major,The Andrews Sisters - I'd Like To Hitch A Ride With Santa Claus
0.1689999999999999,1951,0.875,0.5529999999999999,3.17445,0.317,0,0.00955,C#,0.102,-13.658,Major,"Ruby, My Dear",34,0.0343,72.518,1950s,Thelonious Monk,C# - Major,"Thelonious Monk - Ruby, My Dear"
0.428,1951,0.69,0.623,2.50755,0.0946,0,7.68e-05,G,0.183,-15.174,Major,Forever (And Always),35,0.0293,96.551,1950s,Lefty Frizzell,G - Major,Lefty Frizzell - Forever (And Always)
0.978,1951,0.812,0.843,2.506666666666667,0.418,0,0.0,C#,0.199,-9.42,Major,Here Comes Santa Claus,27,0.0347,96.599,1950s,Gene Autry,C# - Major,Gene Autry - Here Comes Santa Claus
0.8109999999999999,1951,0.906,0.6970000000000001,2.8266666666666667,0.252,0,0.0,D,0.281,-8.927,Major,How D'Ya Like Your Eggs In The Morning,33,0.0431,132.916,1950s,Dean Martin,D - Major,Dean Martin - How D'Ya Like Your Eggs In The Morning
0.222,1951,0.99,0.621,3.717783333333333,0.0564,0,0.778,G,0.1369999999999999,-20.148,Minor,Old Devil Moon,30,0.0486,121.241,1950s,Ahmad Jamal,G - Minor,Ahmad Jamal - Old Devil Moon
0.629,1951,0.985,0.628,4.408883333333334,0.139,0,0.845,F,0.128,-19.457,Major,Pavanne,31,0.0376,97.071,1950s,Ahmad Jamal,F - Major,Ahmad Jamal - Pavanne
0.54,1951,0.991,0.662,2.6388833333333332,0.349,0,0.919,C,0.109,-16.309,Major,Billy Boy,31,0.0511,108.219,1950s,Ahmad Jamal,C - Major,Ahmad Jamal - Billy Boy
